zip_code,data_granularity,metric_window,currency,active_listings,estimated_monthly_revenue_usd,occupancy_rate_pct,average_daily_rate_usd,studio_estimated_monthly_revenue_usd,studio_occupancy_rate_pct,studio_average_daily_rate_usd,one_bed_estimated_monthly_revenue_usd,one_bed_occupancy_rate_pct,one_bed_average_daily_rate_usd,two_bed_estimated_monthly_revenue_usd,two_bed_occupancy_rate_pct,two_bed_average_daily_rate_usd,three_bed_estimated_monthly_revenue_usd,three_bed_occupancy_rate_pct,three_bed_average_daily_rate_usd,four_bed_estimated_monthly_revenue_usd,four_bed_occupancy_rate_pct,four_bed_average_daily_rate_usd
94501,zip_code_aggregate,rolling_30_day_avg,USD,1047,1112.34,26,159,935.312,28,123,1115.07,29.0,141.0,1273.24,26,182,1090.13,17.0,256.0,1479.47,19.0,304.0
94502,zip_code_aggregate,rolling_30_day_avg,USD,164,1296.66,24,203,1644.02,50,115,1126.33,26.0,161.0,1215.15,20,235,1494.68,24.0,234.0,,,
94536,zip_code_aggregate,rolling_30_day_avg,USD,421,1473.38,31,173,1387.0,33,152,1013.48,31.0,119.0,1575.58,31,185,1728.88,32.0,196.0,2810.5,27.0,385.0
94537,zip_code_aggregate,rolling_30_day_avg,USD,161,451.688,18,99,354.05,15,97,866.875,33.0,95.0,895.467,26,128,1168.0,18.0,256.0,,,
94538,zip_code_aggregate,rolling_30_day_avg,USD,358,1111.43,21,203,1163.44,48,85,530.162,24.0,83.0,1502.58,29,190,889.688,16.0,225.0,1227.31,18.0,269.0
94541,zip_code_aggregate,rolling_30_day_avg,USD,133,768.933,19,158,734.562,24,115,874.479,28.0,115.0,730.0,18,160,569.4,12.0,208.0,827.333,13.0,272.0
94546,zip_code_aggregate,rolling_30_day_avg,USD,112,602.25,15,165,1074.93,34,114,809.083,23.0,133.0,539.287,12,197,703.233,11.0,289.0,802.696,10.0,377.0
94555,zip_code_aggregate,rolling_30_day_avg,USD,111,1746.53,21,319,885.125,33,97,2372.5,53.0,156.0,773.8,11,318,1111.12,16.0,281.0,2056.17,23.0,338.0
94577,zip_code_aggregate,rolling_30_day_avg,USD,703,1190.81,32,135,1216.36,34,129,1105.95,39.0,101.0,675.25,15,185,1787.28,29.0,226.0,4004.66,32.0,454.0
94578,zip_code_aggregate,rolling_30_day_avg,USD,220,525.904,16,133,262.8,11,108,450.775,16.0,114.0,1036.6,27,142,985.5,21.0,180.0,,,
94580,zip_code_aggregate,rolling_30_day_avg,USD,149,700.8,19,144,1520.83,43,125,608.942,25.0,91.0,478.454,14,143,462.029,10.0,217.0,112.542,4.0,370.0
94601,zip_code_aggregate,rolling_30_day_avg,USD,881,603.467,19,124,439.521,20,85,755.55,26.0,108.0,438.0,12,160,760.417,13.0,250.0,234.817,5.0,386.0
94602,zip_code_aggregate,rolling_30_day_avg,USD,2402,826.421,22,143,530.467,19,109,934.4,27.0,128.0,991.583,23,163,486.667,11.0,200.0,1282.06,18.0,281.0
94606,zip_code_aggregate,rolling_30_day_avg,USD,886,689.85,21,126,1482.81,42,125,1150.36,34.0,122.0,282.875,9,155,2313.19,68.0,117.0,4790.62,38.0,450.0
94607,zip_code_aggregate,rolling_30_day_avg,USD,375,859.271,28,113,698.367,31,82,1222.75,33.0,134.0,1219.1,27,167,1927.2,35.0,198.0,4060.02,50.0,284.0
94608,zip_code_aggregate,rolling_30_day_avg,USD,255,788.4,19,162,-75.7375,0,83,608.333,19.0,125.0,684.071,16,173,324.85,7.0,267.0,1411.33,23.0,232.0
94611,zip_code_aggregate,rolling_30_day_avg,USD,393,932.575,24,146,1199.03,30,146,839.5,23.0,138.0,1773.29,25,265,1486.77,16.0,376.0,771.062,16.0,195.0
94613,zip_code_aggregate,rolling_30_day_avg,USD,1668,881.475,26,126,485.45,22,84,944.438,30.0,115.0,876.0,23,144,985.5,18.0,216.0,1207.24,24.0,189.0
94615,zip_code_aggregate,rolling_30_day_avg,USD,535,410.625,13,135,543.242,22,94,317.55,12.0,116.0,406.367,11,167,284.396,8.0,187.0,3643.31,56.0,226.0
94618,zip_code_aggregate,rolling_30_day_avg,USD,174,1026.56,28,135,642.4,25,96,1222.75,33.0,134.0,-254.587,0,279,3582.48,29.0,453.0,6925.88,36.0,690.0
94619,zip_code_aggregate,rolling_30_day_avg,USD,719,730.0,19,150,307.208,13,101,1199.63,32.0,136.0,925.275,21,169,212.613,6.0,233.0,2053.73,19.0,422.0
94621,zip_code_aggregate,rolling_30_day_avg,USD,476,811.213,24,127,1105.95,39,101,862.312,30.0,105.0,711.75,21,130,752.812,18.0,165.0,979.417,17.0,230.0
94702,zip_code_aggregate,rolling_30_day_avg,USD,1010,1460.0,35,150,1309.44,44,105,1618.17,41.0,140.0,1475.21,28,194,1435.67,19.0,295.0,784.75,9.0,430.0
94703,zip_code_aggregate,rolling_30_day_avg,USD,782,1162.53,29,147,1423.5,39,130,1060.93,35.0,109.0,988.237,22,171,2290.38,33.0,251.0,1852.38,24.0,290.0
94704,zip_code_aggregate,rolling_30_day_avg,USD,256,1533.0,39,140,3191.32,89,122,1860.89,49.0,133.0,912.5,23,150,3713.88,40.0,330.0,,,
94706,zip_code_aggregate,rolling_30_day_avg,USD,128,2080.5,48,152,2325.05,81,98,1525.7,36.0,152.0,3328.8,51,228,,,,,,
94707,zip_code_aggregate,rolling_30_day_avg,USD,768,1877.01,36,187,1696.34,42,143,1898.0,43.0,156.0,2666.93,35,274,2028.79,26.0,290.0,1569.5,27.0,215.0
94708,zip_code_aggregate,rolling_30_day_avg,USD,463,2562.3,57,156,2746.02,64,148,2129.17,53.0,140.0,4491.33,72,214,3743.68,37.0,362.0,4062.75,40.0,361.0
94709,zip_code_aggregate,rolling_30_day_avg,USD,237,2950.11,64,159,2836.05,66,148,2682.75,66.0,140.0,4803.4,59,282,2947.38,37.0,285.0,5561.08,50.0,389.0
94710,zip_code_aggregate,rolling_30_day_avg,USD,529,1527.53,34,162,1186.25,29,150,1186.25,33.0,130.0,2006.28,37,194,1234.92,23.0,203.0,-365.0,0.0,400.0
95685,zip_code_aggregate,rolling_30_day_avg,USD,108,1606.61,22,278,1508.36,32,171,771.062,18.0,169.0,523.775,10,246,2134.64,25.0,319.0,1989.25,18.0,436.0
95926,zip_code_aggregate,rolling_30_day_avg,USD,245,856.533,25,128,1064.58,38,100,1031.73,35.0,106.0,1770.86,44,142,719.05,15.0,197.0,1405.25,24.0,220.0
95928,zip_code_aggregate,rolling_30_day_avg,USD,298,875.088,24,137,838.283,29,106,882.083,28.0,116.0,843.15,21,154,716.008,14.0,214.0,748.25,13.0,246.0
95222,zip_code_aggregate,rolling_30_day_avg,USD,103,1160.7,21,212,1393.69,32,158,930.75,21.0,170.0,898.508,17,211,1385.18,21.0,253.0,1732.23,20.0,335.0
95223,zip_code_aggregate,rolling_30_day_avg,USD,1100,1098.65,17,258,1525.7,25,228,661.867,19.0,136.0,953.562,18,209,976.679,16.0,247.0,1261.38,16.0,319.0
95247,zip_code_aggregate,rolling_30_day_avg,USD,206,712.967,11,293,1499.24,34,159,982.458,22.0,170.0,766.5,13,252,457.771,8.0,301.0,792.05,10.0,372.0
95950,zip_code_aggregate,rolling_30_day_avg,USD,153,3701.1,75,169,2463.75,78,108,2258.44,78.0,99.0,3349.18,80,143,4066.71,73.0,191.0,4216.36,61.0,239.0
94516,zip_code_aggregate,rolling_30_day_avg,USD,180,870.525,21,159,1314.0,39,120,641.183,20.0,124.0,118.625,4,390,,,,1724.62,21.0,315.0
94519,zip_code_aggregate,rolling_30_day_avg,USD,121,963.6,21,176,1324.95,36,132,790.833,23.0,130.0,974.55,21,178,2346.34,32.0,266.0,732.433,10.0,344.0
94520,zip_code_aggregate,rolling_30_day_avg,USD,193,1329.21,22,230,1834.73,55,116,452.6,15.0,124.0,1411.94,25,211,1793.37,25.0,268.0,755.854,10.0,355.0
94523,zip_code_aggregate,rolling_30_day_avg,USD,570,993.408,26,142,1206.93,35,124,651.525,20.0,126.0,1391.56,28,183,187.367,5.0,308.0,-165.163,0.0,181.0
94530,zip_code_aggregate,rolling_30_day_avg,USD,731,1368.75,33,150,1491.03,41,129,1304.88,36.0,130.0,2224.98,38,209,1311.87,22.0,227.0,2371.59,26.0,339.0
94549,zip_code_aggregate,rolling_30_day_avg,USD,420,2007.8,44,161,1181.69,40,105,1750.18,45.0,137.0,2531.58,44,203,2095.1,27.0,287.0,,,
94553,zip_code_aggregate,rolling_30_day_avg,USD,232,1623.03,32,184,319.375,10,150,1902.56,48.0,139.0,2230.76,41,193,1919.9,27.0,263.0,539.287,12.0,197.0
94595,zip_code_aggregate,rolling_30_day_avg,USD,151,1287.23,26,184,1766.6,47,132,1437.8,32.0,163.0,1189.29,20,230,6073.6,55.0,384.0,,,
94596,zip_code_aggregate,rolling_30_day_avg,USD,404,1954.57,37,189,1439.32,29,182,1976.47,41.0,171.0,2376.15,39,217,2124.3,27.0,291.0,4041.77,47.0,302.0
94597,zip_code_aggregate,rolling_30_day_avg,USD,372,1897.09,36,189,1178.34,29,149,2478.96,53.0,163.0,1615.12,33,177,1658.62,22.0,287.0,2920.91,36.0,291.0
94801,zip_code_aggregate,rolling_30_day_avg,USD,292,1083.44,29,137,1199.63,32,136,1085.88,33.0,119.0,963.6,25,144,1825.91,32.0,207.0,952.65,15.0,261.0
94803,zip_code_aggregate,rolling_30_day_avg,USD,150,1099.26,29,139,1226.4,45,96,834.633,31.0,98.0,757.375,18,166,534.421,10.0,251.0,2706.17,34.0,287.0
94804,zip_code_aggregate,rolling_30_day_avg,USD,600,1051.2,27,144,488.188,18,107,1174.39,36.0,117.0,1133.32,26,162,902.767,17.0,212.0,1334.99,24.0,209.0
94805,zip_code_aggregate,rolling_30_day_avg,USD,358,1014.7,27,139,1203.28,46,92,866.875,28.0,114.0,1156.14,24,181,501.267,11.0,206.0,991.583,13.0,326.0
94806,zip_code_aggregate,rolling_30_day_avg,USD,245,874.479,28,115,744.6,27,102,1022.0,38.0,96.0,882.083,28,116,635.1,12.0,232.0,630.233,10.0,296.0
95531,zip_code_aggregate,rolling_30_day_avg,USD,505,1406.16,26,201,1571.32,44,126,1505.62,36.0,150.0,1494.68,30,182,1264.72,21.0,231.0,1170.43,16.0,296.0
95667,zip_code_aggregate,rolling_30_day_avg,USD,110,1469.12,33,161,1594.75,52,107,1537.26,41.0,133.0,1117.81,24,175,1686.0,26.0,241.0,2593.93,29.0,328.0
96150,zip_code_aggregate,rolling_30_day_avg,USD,798,1456.35,17,342,1134.24,36,113,1799.15,38.0,169.0,1211.8,19,249,1265.33,16.0,320.0,1633.07,16.0,413.0
